#{"t_start": 1769913444.6572013, "env_id": "None"}
r,l,t
-2.0065,3,36656.172372
-2.01925,7,36704.533512
-2.009,8,36759.372453
-2.0085,4,36791.360087
-2.0264,22,36929.954304
-2.05345,19,37047.783244
-2.02105,6,37087.22596
-2.0053,6,37125.899868
-2.08625,25,37276.358594
-2.00305,3,37294.63107
-2.03465,11,37363.913411
-2.0073,7,37403.859878
-2.00325,2,37416.516779
-2.0073,3,37434.935493
-2.0357,12,37516.568581
-2.00405,2,37529.917793
-2.01325,7,37581.421908
-2.04745,15,37683.185252
-2.0154,6,37725.839946
-2.02325,7,37768.269478
-2.01335,6,37811.732555
-2.0207,13,37892.658482
-2.03185,19,38011.372699
-2.02555,8,38061.023982
-2.00385,5,38100.68553
-2.00735,4,38129.237425
-2.017,5,38160.83714
-2.0146,6,38205.985995
-2.0582,13,38284.830642
-2.0255,12,38363.17942
-2.0847,29,38543.738377
-2.017,6,38578.441475
-2.01825,9,38631.180499
-2.00325,2,38643.846122
-2.01255,8,38691.290478
-2.02415,8,38741.396932
-2.0207,7,38790.778748
-2.00305,7,38837.345978
-2.00975,4,38863.645547
-2.0171,9,38920.129232
-2.0186,5,38949.484211
-2.0582,13,39032.150133
-2.0291,8,39078.495624
-2.0099,9,39129.087747
-2.0215,9,39180.30258
-2.05485,22,39309.844613
-2.0201,13,39389.826552
-2.01395,7,39431.427336
-2.0385,12,39506.661314
-2.0308,12,39574.04681
-2.01225,9,39626.855177
-2.01035,4,39652.761352
-2.0053,4,39678.3619
-2.0049,7,39718.38572
-2.00225,3,39736.988637
-2.0049,3,39755.268915
-2.01625,8,39812.269121
-2.02425,8,39862.364563
-2.01725,13,39945.426031
-2.00225,3,39963.534045
-2.0287,16,40064.058175
-2.0451,15,40153.30326
-2.01575,4,40181.293807
-2.0212,12,40262.082148
-2.00325,9,40320.727473
-2.0077,6,40359.177297
-2.0114,9,40414.033419
-2.04575,26,40565.892164
-2.0089,3,40584.59612
-2.01425,10,40644.561675
-2.00445,3,40662.779292
-2.0207,8,40713.948369
-2.0106,7,40753.333334
-2.00525,2,40766.43456
-2.0106,7,40806.150315
-2.02975,8,40858.62136
-2.0207,10,40916.509711
-2.0465,16,41014.342616
-2.0803,23,41143.462849
-2.00615,7,41186.427377
-2.0678,13,41290.809659
-2.02525,7,41331.115965
-2.02145,11,41391.058993
-2.00385,7,41435.729592
-2.01925,7,41480.27493
-2.13285,28,41643.770135
-2.03025,9,41697.112216
-2.0081,5,41725.346053
-2.01295,4,41753.892684
-2.0271,10,41809.993369
-2.0089,4,41832.981255
-2.00365,4,41855.992145
-2.01275,6,41889.181244
-2.00285,18,41990.028959
-2.075,27,42144.871209
-2.02025,8,42188.203945
-2.0073,7,42226.019168
-2.04895,12,42290.010327
-2.04245,11,42358.088954
-2.009,6,42391.235307
-2.096,29,42548.464854
-2.0109,4,42573.564107
-2.01275,6,42609.739092
-2.0433,11,42677.904811
-2.04005,10,42741.688348
-2.02925,17,42836.386808
-2.00585,3,42860.023383
-2.00585,2,42872.558279
